query_id,subject_id,perc_identity,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
tr|A0A1D5PUH1|A0A1D5PUH1_CHICK,sp|O00482|NR5A2_HUMAN,95.379,541,25,0,1,541,1,541,0,1083
sp|A0A1D5PUP4|RECK_CHICK,sp|O95980|RECK_HUMAN,86.703,925,123,0,22,946,28,952,0,1680
tr|A0A1D5PUY5|A0A1D5PUY5_CHICK,sp|P05771|KPCB_HUMAN,91.454,667,55,2,1,665,1,667,0,1276
sp|A0A1D5PXA5|TRPV4_CHICK,sp|Q9HBA0|TRPV4_HUMAN,84.579,856,123,3,5,852,17,871,0,1481
tr|A0A1D5PYU1|A0A1D5PYU1_CHICK,sp|P02452|CO1A1_HUMAN,89.891,1464,137,3,1,1453,1,1464,0,1588
tr|A0A1D5PZB7|A0A1D5PZB7_CHICK,sp|P35228|NOS2_HUMAN,70.413,1139,332,4,1,1135,1,1138,0,1730
tr|A0A1D5PZJ5|A0A1D5PZJ5_CHICK,sp|P49961|ENTP1_HUMAN,62.55,502,186,2,25,525,10,510,0,659
tr|A0A1D6UPT7|A0A1D6UPT7_CHICK,sp|O95251|KAT7_HUMAN,97.872,611,13,0,89,699,1,611,0,1255
tr|A0A1I7Q417|A0A1I7Q417_CHICK,sp|P37173|TGFR2_HUMAN,76.994,539,118,3,134,671,34,567,0,865
tr|A0A1I7Q417|A0A1I7Q417_CHICK,sp|P37173|TGFR2_HUMAN,51.079,139,60,2,10,140,12,150,1.83e-39,152
tr|A0A1L1RKB7|A0A1L1RKB7_CHICK,sp|P16615|AT2A2_HUMAN,93.954,1042,63,0,1,1042,1,1042,0,2004
sp|A0A3Q2TTB3|PRIPO_CHICK,sp|Q96LW4|PRIPO_HUMAN,57.496,567,226,9,1,562,1,557,0,600
tr|A0A3Q2TTF7|A0A3Q2TTF7_CHICK,sp|Q8WTV0|SCRB1_HUMAN,64.48,442,156,1,3,443,5,446,0,645
tr|A0A3Q2TTH8|A0A3Q2TTH8_CHICK,sp|O15520|FGF10_HUMAN,73.913,115,20,2,1,112,1,108,3.52e-40,137
tr|A0A3Q2TWD9|A0A3Q2TWD9_CHICK,sp|Q5JWF2|GNAS1_HUMAN,84.478,393,43,2,43,417,645,1037,0,698
tr|A0A3Q2U2I2|A0A3Q2U2I2_CHICK,sp|Q9BYV1|AGT2_HUMAN,70.946,148,42,1,16,162,366,513,2.88e-70,220
tr|A0A3Q2U359|A0A3Q2U359_CHICK,sp|Q12959|DLG1_HUMAN,90.601,915,75,4,1,915,1,904,0,1628
tr|A0A3Q2U3B9|A0A3Q2U3B9_CHICK,sp|Q96EV8|DTBP1_HUMAN,81.737,334,59,2,1,332,1,334,0,536
tr|A0A3Q2U639|A0A3Q2U639_CHICK,sp|P06241|FYN_HUMAN,90.153,589,6,1,1,589,1,537,0,1090
tr|A0A3Q2U6I3|A0A3Q2U6I3_CHICK,sp|P43003|EAA1_HUMAN,88.95,543,59,1,1,543,1,542,0,973
tr|A0A3Q2UCE3|A0A3Q2UCE3_CHICK,sp|P35398|RORA_HUMAN,96.267,509,18,1,16,524,16,523,0,1007
tr|A0A3Q2UCN1|A0A3Q2UCN1_CHICK,sp|P29350|PTN6_HUMAN,79.835,605,105,4,6,606,4,595,0,1011
tr|A0A3Q2UCN1|A0A3Q2UCN1_CHICK,sp|P29350|PTN6_HUMAN,33.898,118,54,3,111,225,3,99,1.22e-10,63.9
tr|A0A3Q2UDQ7|A0A3Q2UDQ7_CHICK,sp|Q8NEB9|PK3C3_HUMAN,90.471,913,56,2,1,912,1,883,0,1666
tr|A0A3Q2UE42|A0A3Q2UE42_CHICK,sp|P49768|PSN1_HUMAN,81.974,466,82,1,5,468,2,467,0,692
tr|A0A3Q2UH91|A0A3Q2UH91_CHICK,sp|Q13133|NR1H3_HUMAN,77.48,373,84,0,24,396,62,434,0,593
tr|A0A3Q2UHM4|A0A3Q2UHM4_CHICK,sp|O00429|DNM1L_HUMAN,90.387,749,45,2,1,735,1,736,0,1370
tr|A0A3Q2UKD3|A0A3Q2UKD3_CHICK,sp|Q02763|TIE2_HUMAN,73.605,1129,292,4,1,1128,1,1124,0,1719
tr|A0A3Q3ACS4|A0A3Q3ACS4_CHICK,sp|P27986|P85A_HUMAN,89.088,724,79,0,1,724,1,724,0,1301
tr|A0A3Q3AS57|A0A3Q3AS57_CHICK,sp|P06400|RB_HUMAN,74.062,906,220,7,19,920,33,927,0,1379
tr|A0A3Q3ATU9|A0A3Q3ATU9_CHICK,sp|Q8TAX0|OSR1_HUMAN,87.218,266,28,3,1,260,1,266,1.19e-168,466
tr|A0A3Q3AXA2|A0A3Q3AXA2_CHICK,sp|Q03181|PPARD_HUMAN,90.517,232,22,0,314,545,210,441,8.72e-155,449
tr|A0A3Q3AXA2|A0A3Q3AXA2_CHICK,sp|Q03181|PPARD_HUMAN,82.383,193,28,2,32,218,30,222,3.5e-102,315
tr|A0A3Q3B1W2|A0A3Q3B1W2_CHICK,sp|Q9UJU2|LEF1_HUMAN,94.149,376,21,1,13,387,14,389,0,709
tr|A0A3S5ZPN3|A0A3S5ZPN3_CHICK,sp|P17844|DDX5_HUMAN,88.943,615,55,4,1,603,1,614,0,1108
tr|A0A5J6CU64|A0A5J6CU64_CHICK,sp|Q9BYF1|ACE2_HUMAN,65.918,801,260,4,13,808,13,805,0,1107
tr|A0A8V0WZJ7|A0A8V0WZJ7_CHICK,sp|P35240|MERL_HUMAN,94.958,595,29,1,1,594,1,595,0,1154
tr|A0A8V0X2Q8|A0A8V0X2Q8_CHICK,sp|P08581|MET_HUMAN,73.536,1383,363,3,10,1391,1,1381,0,2138
tr|A0A8V0X2R1|A0A8V0X2R1_CHICK,sp|P51636|CAV2_HUMAN,65.432,162,55,1,1,161,1,162,3.13e-78,229
tr|A0A8V0X354|A0A8V0X354_CHICK,sp|P29475|NOS1_HUMAN,83.079,1442,227,4,1,1434,1,1433,0,2482
tr|A0A8V0X3G6|A0A8V0X3G6_CHICK,sp|Q08J23|NSUN2_HUMAN,78.602,701,142,3,14,708,16,714,0,1152
tr|A0A8V0X3L8|A0A8V0X3L8_CHICK,sp|O43597|SPY2_HUMAN,85.079,315,45,1,1,313,1,315,0,508
tr|A0A8V0X4C5|A0A8V0X4C5_CHICK,sp|Q99828|CIB1_HUMAN,76.336,131,30,1,151,281,62,191,6.57e-66,203
tr|A0A8V0X4D8|A0A8V0X4D8_CHICK,sp|P09958|FURIN_HUMAN,78.412,806,150,6,1,794,1,794,0,1259
tr|A0A8V0X4H3|A0A8V0X4H3_CHICK,sp|P17706|PTN2_HUMAN,77.778,387,80,3,42,428,1,381,0,629
tr|A0A8V0X6D1|A0A8V0X6D1_CHICK,sp|Q99593|TBX5_HUMAN,88.484,521,57,2,17,537,1,518,0,954
tr|A0A8V0X6E7|A0A8V0X6E7_CHICK,sp|P07332|FES_HUMAN,69.734,826,244,2,54,877,1,822,0,1077
tr|A0A8V0X6M3|A0A8V0X6M3_CHICK,sp|P15018|LIF_HUMAN,42.574,202,114,1,1,202,1,200,5.54e-54,171
tr|A0A8V0X6X9|A0A8V0X6X9_CHICK,sp|Q92831|KAT2B_HUMAN,91.721,761,62,1,49,808,72,832,0,1442
tr|A0A8V0X7H3|A0A8V0X7H3_CHICK,sp|P63244|RACK1_HUMAN,100,317,0,0,41,357,1,317,0,652
tr|A0A8V0X804|A0A8V0X804_CHICK,sp|Q05469|LIPS_HUMAN,59.259,351,132,2,217,557,487,836,2.08e-131,431
tr|A0A8V0X804|A0A8V0X804_CHICK,sp|Q05469|LIPS_HUMAN,46.784,171,74,4,581,745,916,1075,1.95e-26,117
tr|A0A8V0X804|A0A8V0X804_CHICK,sp|Q05469|LIPS_HUMAN,59.259,27,11,0,1,27,478,504,0.037,38.1
tr|A0A8V0X898|A0A8V0X898_CHICK,sp|Q9NYP7|ELOV5_HUMAN,83.612,299,45,1,46,340,1,299,0,522
tr|A0A8V0X8K4|A0A8V0X8K4_CHICK,sp|P24530|EDNRB_HUMAN,82.423,421,61,6,149,560,26,442,0,684
tr|A0A8V0X8Q2|A0A8V0X8Q2_CHICK,sp|O75503|CLN5_HUMAN,74.164,329,84,1,12,339,30,358,0,526
tr|A0A8V0X980|A0A8V0X980_CHICK,sp|P27797|CALR_HUMAN,86.744,347,43,1,21,367,19,362,0,639
tr|A0A8V0X9Y7|A0A8V0X9Y7_CHICK,sp|P13569|CFTR_HUMAN,79.449,1489,294,8,1,1486,1,1480,0,2390
tr|A0A8V0XA64|A0A8V0XA64_CHICK,sp|Q13127|REST_HUMAN,70.447,582,157,11,1,574,1,575,0,792
tr|A0A8V0XA64|A0A8V0XA64_CHICK,sp|Q13127|REST_HUMAN,69.091,110,33,1,784,893,989,1097,6.01e-39,156
tr|A0A8V0XAJ0|A0A8V0XAJ0_CHICK,sp|P28300|LYOX_HUMAN,69.111,450,80,9,1,424,1,417,0,584
tr|A0A8V0XAX6|A0A8V0XAX6_CHICK,sp|P08473|NEP_HUMAN,78.8,750,159,0,53,802,1,750,0,1260
tr|A0A8V0XC94|A0A8V0XC94_CHICK,sp|Q96PD7|DGAT2_HUMAN,85.345,348,48,1,41,385,41,388,0,643
tr|A0A8V0XCP9|A0A8V0XCP9_CHICK,sp|Q9NSV4|DIAP3_HUMAN,76.399,572,133,2,614,1183,622,1193,0,832
tr|A0A8V0XDU5|A0A8V0XDU5_CHICK,sp|P11532|DMD_HUMAN,78.869,3677,766,4,5,3672,1,3675,0,5942
tr|A0A8V0XDW7|A0A8V0XDW7_CHICK,sp|Q9UP38|FZD1_HUMAN,91.176,544,37,3,59,592,105,647,0,1020
tr|A0A8V0XE33|A0A8V0XE33_CHICK,sp|Q9NYP7|ELOV5_HUMAN,83.612,299,45,1,35,329,1,299,0,522
tr|A0A8V0XE48|A0A8V0XE48_CHICK,sp|O75116|ROCK2_HUMAN,84.721,1453,152,7,1,1449,1,1387,0,2457
tr|A0A8V0XEN1|A0A8V0XEN1_CHICK,sp|Q15672|TWST1_HUMAN,82.178,202,23,2,98,286,1,202,2.02e-87,259
tr|A0A8V0XEP6|A0A8V0XEP6_CHICK,sp|Q9NYP7|ELOV5_HUMAN,83.571,280,42,1,1,276,1,280,2.21e-177,492
tr|A0A8V0XEZ9|A0A8V0XEZ9_CHICK,sp|P61296|HAND2_HUMAN,84.071,226,16,3,1,215,1,217,1.33e-118,335
tr|A0A8V0XF20|A0A8V0XF20_CHICK,sp|Q92908|GATA6_HUMAN,66.813,455,87,11,81,472,142,595,0,531
tr|A0A8V0XFM5|A0A8V0XFM5_CHICK,sp|Q14980|NUMA1_HUMAN,51.933,2199,870,37,215,2335,1,2090,0,1753
tr|A0A8V0XFP0|A0A8V0XFP0_CHICK,sp|Q99502|EYA1_HUMAN,93.052,403,19,3,1,398,1,399,0,732
tr|A0A8V0XFP0|A0A8V0XFP0_CHICK,sp|Q99502|EYA1_HUMAN,98.964,193,2,0,464,656,400,592,1.22e-135,409
tr|A0A8V0XG17|A0A8V0XG17_CHICK,sp|O14788|TNF11_HUMAN,63.052,249,92,0,152,400,69,317,6.48e-118,345
tr|A0A8V0XGN1|A0A8V0XGN1_CHICK,sp|P15428|PGDH_HUMAN,70.464,237,70,0,54,290,28,264,1.34e-130,371
tr|A0A8V0XGS6|A0A8V0XGS6_CHICK,sp|P35716|SOX11_HUMAN,71.719,442,78,9,37,432,1,441,0,532
tr|A0A8V0XH61|A0A8V0XH61_CHICK,sp|P78527|PRKDC_HUMAN,69.178,4101,1241,13,196,4291,46,4128,0,5918
tr|A0A8V0XHN9|A0A8V0XHN9_CHICK,sp|Q12778|FOXO1_HUMAN,75.495,657,145,5,86,731,4,655,0,902
tr|A0A8V0XI05|A0A8V0XI05_CHICK,sp|Q9Y231|FUT9_HUMAN,87.744,359,44,0,16,374,1,359,0,668
tr|A0A8V0XI18|A0A8V0XI18_CHICK,sp|Q13315|ATM_HUMAN,69.128,3074,927,10,1,3070,1,3056,0,4395
tr|A0A8V0XI63|A0A8V0XI63_CHICK,sp|O15118|NPC1_HUMAN,78.781,1263,266,2,25,1286,17,1278,0,2088
tr|A0A8V0XJ05|A0A8V0XJ05_CHICK,sp|P09038|FGF2_HUMAN,89.583,96,10,0,108,203,193,288,4.88e-56,179
tr|A0A8V0XJ84|A0A8V0XJ84_CHICK,sp|P10600|TGFB3_HUMAN,88.107,412,49,0,124,535,1,412,0,776
tr|A0A8V0XJA5|A0A8V0XJA5_CHICK,sp|P29218|IMPA1_HUMAN,82.909,275,47,0,31,305,1,275,9.6e-178,491
tr|A0A8V0XJP7|A0A8V0XJP7_CHICK,sp|O43318|M3K7_HUMAN,83.053,655,45,8,7,659,16,606,0,1072
tr|A0A8V0XJW8|A0A8V0XJW8_CHICK,sp|O14713|ITBP1_HUMAN,93.467,199,13,0,1,199,1,199,6.99e-120,337
tr|A0A8V0XKA8|A0A8V0XKA8_CHICK,sp|P43699|NKX21_HUMAN,72.581,372,74,4,22,366,1,371,2.13e-177,497
tr|A0A8V0XKC2|A0A8V0XKC2_CHICK,sp|P78536|ADA17_HUMAN,78.321,798,166,4,77,873,33,824,0,1322
tr|A0A8V0XKI8|A0A8V0XKI8_CHICK,sp|P28223|5HT2A_HUMAN,76.923,468,103,3,1,464,1,467,0,737
tr|A0A8V0XKJ7|A0A8V0XKJ7_CHICK,sp|P07948|LYN_HUMAN,87.524,513,63,1,35,547,1,512,0,945
tr|A0A8V0XL48|A0A8V0XL48_CHICK,sp|Q14914|PTGR1_HUMAN,63.636,330,117,3,1,329,1,328,1.02e-150,426
tr|A0A8V0XLN7|A0A8V0XLN7_CHICK,sp|P01133|EGF_HUMAN,52.283,1161,485,8,1,1150,1,1103,0,1234
tr|A0A8V0XLT0|A0A8V0XLT0_CHICK,sp|P19838|NFKB1_HUMAN,70.695,993,254,17,1,981,1,968,0,1326
tr|A0A8V0XMI5|A0A8V0XMI5_CHICK,sp|P09429|HMGB1_HUMAN,94.318,176,10,0,35,210,1,176,1.67e-112,321
tr|A0A8V0XMT9|A0A8V0XMT9_CHICK,sp|P05556|ITB1_HUMAN,84.289,802,118,3,21,819,2,798,0,1378
tr|A0A8V0XN14|A0A8V0XN14_CHICK,sp|Q12946|FOXF1_HUMAN,88.026,309,33,3,60,364,28,336,1.56e-173,488
tr|A0A8V0XN36|A0A8V0XN36_CHICK,sp|Q9UBP0|SPAST_HUMAN,80.944,572,71,3,51,585,46,616,0,909
tr|A0A8V0XN44|A0A8V0XN44_CHICK,sp|P33151|CADH5_HUMAN,57.867,750,300,9,79,818,41,784,0,823
tr|A0A8V0XND5|A0A8V0XND5_CHICK,sp|P31371|FGF9_HUMAN,97.537,203,5,0,9,211,6,208,1.59e-149,413
tr|A0A8V0XNF4|A0A8V0XNF4_CHICK,sp|P00533|EGFR_HUMAN,76.727,1216,252,9,33,1246,24,1210,0,1882
tr|A0A8V0XNI4|A0A8V0XNI4_CHICK,sp|P16885|PLCG2_HUMAN,82.977,1263,212,3,58,1318,4,1265,0,2221
tr|A0A8V0XNN7|A0A8V0XNN7_CHICK,sp|Q9UBP5|HEY2_HUMAN,88.535,314,32,3,26,336,25,337,1.39e-166,467
tr|A0A8V0XPR5|A0A8V0XPR5_CHICK,sp|O60260|PRKN_HUMAN,72.805,467,116,4,49,509,3,464,0,711
tr|A0A8V0XQ20|A0A8V0XQ20_CHICK,sp|O14786|NRP1_HUMAN,82.58,907,150,4,19,921,21,923,0,1568
tr|A0A8V0XQF4|A0A8V0XQF4_CHICK,sp|P46937|YAP1_HUMAN,94.493,454,22,2,50,500,51,504,0,844
tr|A0A8V0XR90|A0A8V0XR90_CHICK,sp|Q14191|WRN_HUMAN,55.678,1365,549,12,14,1335,5,1356,0,1462
tr|A0A8V0XR94|A0A8V0XR94_CHICK,sp|P21580|TNAP3_HUMAN,64.932,807,262,6,3,806,2,790,0,1064
tr|A0A8V0XRD8|A0A8V0XRD8_CHICK,sp|Q08209|PP2BA_HUMAN,96.604,530,8,2,1,529,1,521,0,1063
tr|A0A8V0XRE1|A0A8V0XRE1_CHICK,sp|Q13464|ROCK1_HUMAN,87.04,1358,170,3,1,1357,1,1353,0,2398
tr|A0A8V0XRZ8|A0A8V0XRZ8_CHICK,sp|P03372|ESR1_HUMAN,78.778,589,118,3,63,644,1,589,0,965
tr|A0A8V0XSD1|A0A8V0XSD1_CHICK,sp|Q9UBP0|SPAST_HUMAN,83.392,572,80,3,51,608,46,616,0,943
tr|A0A8V0XTC7|A0A8V0XTC7_CHICK,sp|Q14160|SCRIB_HUMAN,69.72,1321,317,13,1,1275,1,1284,0,1702
tr|A0A8V0XTC7|A0A8V0XTC7_CHICK,sp|Q14160|SCRIB_HUMAN,42.614,352,99,10,1508,1852,1311,1566,1.07e-43,175
tr|A0A8V0XTR4|A0A8V0XTR4_CHICK,sp|P35221|CTNA1_HUMAN,97.781,811,17,1,1,810,1,811,0,1629
tr|A0A8V0XTU4|A0A8V0XTU4_CHICK,sp|Q9Y5K6|CD2AP_HUMAN,65.653,658,193,12,70,714,2,639,0,742
tr|A0A8V0XU96|A0A8V0XU96_CHICK,sp|Q15139|KPCD1_HUMAN,88.571,840,75,1,1,819,1,840,0,1546
tr|A0A8V0XUA9|A0A8V0XUA9_CHICK,sp|P08476|INHBA_HUMAN,84.742,426,63,1,136,559,1,426,0,731
tr|A0A8V0XUZ3|A0A8V0XUZ3_CHICK,sp|P15311|EZRI_HUMAN,90.034,582,57,1,38,618,5,586,0,1061
tr|A0A8V0XV56|A0A8V0XV56_CHICK,sp|P04114|APOB_HUMAN,50.737,4547,2219,15,20,4558,28,4561,0,4745
tr|A0A8V0XV80|A0A8V0XV80_CHICK,sp|Q14914|PTGR1_HUMAN,64.746,295,102,2,37,330,35,328,1.63e-137,392
tr|A0A8V0XV85|A0A8V0XV85_CHICK,sp|Q14914|PTGR1_HUMAN,63.83,329,117,2,49,376,1,328,3.27e-152,432
tr|A0A8V0XWC6|A0A8V0XWC6_CHICK,sp|O14746|TERT_HUMAN,52.294,872,351,11,489,1358,324,1132,0,874
tr|A0A8V0XWC6|A0A8V0XWC6_CHICK,sp|O14746|TERT_HUMAN,49.133,173,85,2,25,197,9,178,5.38e-40,161
tr|A0A8V0XWG5|A0A8V0XWG5_CHICK,sp|O43525|KCNQ3_HUMAN,85.048,836,113,4,32,859,41,872,0,1464
tr|A0A8V0XWL1|A0A8V0XWL1_CHICK,sp|Q96EB6|SIR1_HUMAN,78.913,607,118,7,280,880,144,746,0,944
tr|A0A8V0XWR3|A0A8V0XWR3_CHICK,sp|Q9UN37|VPS4A_HUMAN,89.238,446,38,1,1,446,1,436,0,836
tr|A0A8V0XX09|A0A8V0XX09_CHICK,sp|Q99958|FOXC2_HUMAN,67.623,488,89,13,102,545,1,463,0,581
tr|A0A8V0XX68|A0A8V0XX68_CHICK,sp|Q9BYH8|IKBZ_HUMAN,66.113,723,209,13,1,695,1,715,0,878
tr|A0A8V0XY15|A0A8V0XY15_CHICK,sp|Q14914|PTGR1_HUMAN,62.379,311,115,2,20,329,19,328,1.61e-136,390
tr|A0A8V0XY91|A0A8V0XY91_CHICK,sp|Q06945|SOX4_HUMAN,84.81,158,16,1,1,150,1,158,9.61e-87,274
tr|A0A8V0XYH6|A0A8V0XYH6_CHICK,sp|Q13492|PICAL_HUMAN,89.374,687,37,3,1,686,1,652,0,1230
tr|A0A8V0XYP5|A0A8V0XYP5_CHICK,sp|Q00839|HNRPU_HUMAN,80.494,851,131,12,1,842,1,825,0,1212
tr|A0A8V0XZ82|A0A8V0XZ82_CHICK,sp|Q14289|FAK2_HUMAN,79.762,1008,199,4,83,1090,1,1003,0,1686
tr|A0A8V0XZX1|A0A8V0XZX1_CHICK,sp|P37840|SYUA_HUMAN,71.264,174,16,3,1,174,1,140,3.49e-73,216
tr|A0A8V0XZZ5|A0A8V0XZZ5_CHICK,sp|P05019|IGF1_HUMAN,72.152,158,20,1,1,158,1,134,6.95e-77,227
tr|A0A8V0Y0J2|A0A8V0Y0J2_CHICK,sp|P10909|CLUS_HUMAN,46.789,436,213,7,73,500,22,446,1.51e-136,401
tr|A0A8V0Y0R8|A0A8V0Y0R8_CHICK,sp|Q9UPW5|CBPC1_HUMAN,78.356,1229,257,6,51,1274,1,1225,0,1972
tr|A0A8V0Y0X1|A0A8V0Y0X1_CHICK,sp|Q8IXJ6|SIR2_HUMAN,72.126,348,91,4,139,481,22,368,0,529
tr|A0A8V0Y1F7|A0A8V0Y1F7_CHICK,sp|P43405|KSYK_HUMAN,78.053,647,125,4,2,647,3,633,0,1042
tr|A0A8V0Y1H7|A0A8V0Y1H7_CHICK,sp|Q00613|HSF1_HUMAN,69.095,453,89,7,3,412,6,450,0,578
tr|A0A8V0Y218|A0A8V0Y218_CHICK,sp|Q9H9S5|FKRP_HUMAN,55.824,455,184,9,41,480,39,491,1.02e-162,469
tr|A0A8V0Y222|A0A8V0Y222_CHICK,sp|Q9UKV8|AGO2_HUMAN,98.378,863,10,2,1,863,1,859,0,1771
tr|A0A8V0Y294|A0A8V0Y294_CHICK,sp|P27037|AVR2A_HUMAN,91.171,521,38,1,1,521,1,513,0,944
tr|A0A8V0Y298|A0A8V0Y298_CHICK,sp|P15291|B4GT1_HUMAN,77.778,261,58,0,208,468,137,397,4.57e-160,458
tr|A0A8V0Y2E5|A0A8V0Y2E5_CHICK,sp|Q92819|HYAS2_HUMAN,94.203,552,32,0,21,572,1,552,0,1099
tr|A0A8V0Y2J1|A0A8V0Y2J1_CHICK,sp|P16671|CD36_HUMAN,61.229,472,182,1,1,471,1,472,0,649
tr|A0A8V0Y2U9|A0A8V0Y2U9_CHICK,sp|O00548|DLL1_HUMAN,83.082,597,96,5,216,808,128,723,0,1024
