"query_id","subject_id","perc_identity","num_ident_matches","alig_length","mismatches","gap_openings","n_gaps","pos_match","ppos","q_start","q_end","q_len","qcov","qcovhsp","s_start","s_end","s_len","evalue","bit_score","score_raw"
"A0A0D9QUJ8","Q8IWF9",89.189,396,444,17,1,31,403,90.77,1,444,444,100,100,1,413,413,0,781,2017
"A0A0D9QUJ9","Q96D53",96.507,525,544,19,0,0,529,97.24,1,544,544,100,100,1,544,544,0,1066,2756
"A0A0D9QUK0","O60486",98.67,1187,1203,12,1,4,1193,99.17,1,1203,1203,100,100,1,1199,1568,0,2474,6413
"A0A0D9QUK1","Q9Y6R0",84.323,511,606,78,5,17,518,85.48,9,602,602,99,99,9,609,609,0,834,2155
"A0A0D9QUK2","Q9HCH5",99.105,443,447,4,0,0,446,99.78,1332,1778,1778,28,25,488,934,934,0,845,2182
"A0A0D9QUK3","Q9BUB4",94.821,476,502,26,0,0,488,97.21,1,502,502,100,100,1,502,502,0,992,2565
"A0A0D9QUK4","Q96M93",97.917,564,576,12,0,0,568,98.61,1,576,576,100,100,1,576,576,0,1170,3027
"A0A0D9QUK5","P60520",100,117,117,0,0,0,117,100,1,117,117,100,100,1,117,117,6.19e-85,242,618
"A0A0D9QUK6","Q8NC06",84.979,198,233,32,1,3,201,86.27,1,233,302,77,77,1,230,268,1.65e-139,394,1012
"A0A0D9QUK7","Q9H6L2",96.519,305,316,11,0,0,311,98.42,1,316,316,100,100,1,316,316,0,633,1633
"A0A0D9QUK8","Q96MH2",97.552,279,286,7,0,0,282,98.6,1,286,286,100,100,1,286,286,0,568,1465
"A0A0D9QUK9","O95466",98.364,1082,1100,13,1,5,1086,98.73,1,1095,1095,100,100,1,1100,1100,0,2195,5688
"A0A0D9QUL0","Q96LK8",86.579,329,380,47,1,4,346,91.05,5,380,380,99,99,5,384,384,0,621,1601
"A0A0D9QUL1","Q9GZX3",98.481,389,395,6,0,0,393,99.49,49,443,443,89,89,1,395,395,0,786,2029
"A0A0D9QUL2","Q14767",39.761,631,1587,784,49,172,820,51.67,25,1551,1557,98,98,344,1818,1821,0,936,2420
"A0A0D9QUL3","Q99558",98.205,930,947,17,0,0,934,98.63,1,947,947,100,100,1,947,947,0,1895,4908
"A0A0D9QUL4","Q8WVE7",99.306,143,144,1,0,0,144,100,1,144,144,100,100,1,144,144,6.71e-101,285,728
"A0A0D9QUL5","Q9H061",91.327,179,196,15,2,2,187,95.41,1,195,195,100,100,1,195,195,1.45e-130,364,934
"A0A0D9QUL6","Q6ZUM4",96.292,857,890,29,2,4,866,97.3,1,887,887,100,100,1,889,889,0,1733,4488
"A0A0D9QUL7","Q2LD37",99.266,3245,3269,24,0,0,3257,99.63,1,3269,4812,99,68,247,3515,5005,0,6797,17635
"A0A0D9QUL8","Q8IUX1",88.696,204,230,26,0,0,211,91.74,1,230,230,100,100,1,230,230,1.96e-153,425,1092
"A0A0D9QUL9","Q8TBC3",98.571,345,350,5,0,0,347,99.14,1,350,350,100,100,358,707,707,0,700,1806
"A0A0D9QUM0","Q9UEE9",98.662,295,299,4,0,0,298,99.67,1,299,299,100,100,1,299,299,0,577,1487
"A0A0D9QUM1","Q9H254",98.092,2519,2568,45,2,4,2532,98.6,1,2568,2568,100,100,1,2564,2564,0,5029,13045
"A0A0D9QUM2","P78352",61.538,496,806,194,5,116,593,73.57,2,804,804,99,99,32,724,724,0,984,2545
"A0A0D9QUM3","P56945",97.701,850,870,20,0,0,855,98.28,1,870,870,100,100,1,870,870,0,1707,4422
"A0A0D9QUM4","Q6GPI1",87.833,231,263,32,0,0,240,91.25,1,263,263,100,100,1,263,263,1.02e-170,471,1212
"A0A0D9QUM5","Q9Y210",72.517,628,866,213,3,25,725,83.72,27,869,876,96,96,58,921,931,0,1295,3350
"A0A0D9QUM6","Q9GZT6",97.244,247,254,7,0,0,249,98.03,1,254,254,100,100,1,254,254,0,510,1313
"A0A0D9QUM7","Q8IWZ6",97.343,696,715,19,0,0,704,98.46,1,715,715,100,100,1,715,715,0,1446,3742
"A0A0D9QUM8","Q8N9B4",98.715,384,389,5,0,0,385,98.97,1,389,389,100,100,1,389,389,0,803,2074
"A0A0D9QUM9","P78560",96,96,100,4,0,0,100,100,30,129,129,78,78,100,199,199,1.82e-69,207,526
"A0A0D9QUN0","P78560",97,97,100,3,0,0,99,99,1,100,115,87,87,1,100,199,3.36e-66,197,502
"A0A0D9QUN1","P20248",98.611,426,432,6,0,0,429,99.31,1,432,432,100,100,1,432,432,0,882,2279
"A0A0D9QUN2","O94913",99.421,1546,1555,9,0,0,1549,99.61,1,1555,1555,100,100,1,1555,1555,0,3160,8194
"A0A0D9QUN3","P17538",92.015,242,263,21,0,0,247,93.92,1,263,263,100,100,1,263,263,6.48e-178,489,1259
"A0A0D9QUN4","O14508",98.485,195,198,3,0,0,197,99.49,1,198,198,100,100,1,198,198,6.69e-148,408,1048
"A0A0D9QUN5","Q15771",100,203,203,0,0,0,203,100,1,203,203,100,100,1,203,203,1.68e-152,420,1079
"A0A0D9QUN6","Q06265",98.861,434,439,5,0,0,437,99.54,1,439,439,100,100,1,439,439,0,890,2300
"A0A0D9QUN7","Q8IXT1",92.829,932,1004,62,4,10,954,95.02,1,1001,1001,100,100,1,997,998,0,1894,4905
"A0A0D9QUN8","Q9Y6G3",95.775,136,142,6,0,0,140,98.59,1,142,142,100,100,1,142,142,2.01e-101,286,731
"A0A0D9QUN9","Q9Y4G2",97.348,1028,1056,27,1,1,1040,98.48,1,1055,1055,100,100,1,1056,1056,0,2111,5470
"A0A0D9QUP1","P61088",69.737,106,152,36,3,10,114,75,1,143,199,96,72,1,151,152,8.87e-66,199,505
"A0A0D9QUP2","A6NMS7",80.959,1199,1481,274,6,8,1292,87.24,1,1478,1498,99,99,145,1620,1700,0,2352,6094
"A0A0D9QUP3","Q9NZJ9",99.444,179,180,1,0,0,180,100,1,180,180,100,100,1,180,180,1.67e-135,375,963
"A0A0D9QUP4","P08758",98.438,315,320,5,0,0,318,99.38,1,320,320,100,100,1,320,320,0,638,1645
"A0A0D9QUP5","P42785",97.782,485,496,11,0,0,489,98.59,1,496,496,100,100,1,496,496,0,1015,2625
"A0A0D9QUP6","P15880",92.083,221,240,18,1,1,227,94.58,45,283,283,84,84,54,293,293,2.64e-160,447,1149
"A0A0D9QUP7","Q6P2D0",98.034,399,407,6,1,2,404,99.26,1,405,405,100,100,1,407,407,0,833,2152
"A0A0D9QUP8","Q9NT68",64.31,1683,2617,839,20,95,2068,79.02,3,2605,2605,99,99,239,2774,2774,0,3558,9225
"A0A0D9QUP9","Q96P65",98.144,423,431,8,0,0,427,99.07,1,431,431,100,100,1,431,431,0,878,2269
"A0A0D9QUQ0","Q96KP6",90.938,291,320,29,0,0,301,94.06,1,320,330,97,97,1,320,325,0,588,1515
"A0A0D9QUQ1","Q15075",98.937,1396,1411,15,0,0,1405,99.57,1,1411,1411,100,100,1,1411,1411,0,2719,7048
"A0A0D9QUQ2","Q86WU2",91.913,466,507,18,1,23,474,93.49,1,484,484,100,100,1,507,507,0,944,2439
"A0A0D9QUQ4","P30043",97.573,201,206,5,0,0,204,99.03,1,206,206,100,100,1,206,206,3.99e-148,409,1051
"A0A0D9QUQ5","Q13951",98.235,167,170,3,0,0,167,98.24,1,170,187,91,91,1,170,182,3.43e-122,342,877
"A0A0D9QUQ6","Q8TB73",98.944,562,568,6,0,0,567,99.82,10,577,577,98,98,1,568,568,0,1172,3032
"A0A0D9QUQ7","Q6ZR37",98.153,372,379,7,0,0,377,99.47,98,476,476,80,80,1,379,379,0,768,1984
"A0A0D9QUQ8","Q9BXM0",91.61,1343,1466,66,5,57,1361,92.84,1,1414,1414,100,100,1,1461,1461,0,2311,5990
"A0A0D9QUQ9","Q9NQX1",94.603,596,630,3,1,31,597,94.76,1,599,599,100,100,1,630,630,0,1225,3170
"A0A0D9QUR0","Q8NE63",96.591,595,616,20,1,1,603,97.89,1,615,615,100,100,1,616,616,0,1227,3174
"A0A0D9QUR1","P62324",98.246,168,171,3,0,0,170,99.42,1,171,171,100,100,1,171,171,1.78e-127,354,908
"A0A0D9QUR2","Q9BSU1",99.289,419,422,3,0,0,421,99.76,1,422,422,100,100,1,422,422,0,878,2268
"A0A0D9QUR3","Q13257",98.649,73,74,1,0,0,73,98.65,1,74,75,99,99,1,74,205,1.69e-47,149,375
"A0A0D9QUR4","A6NM11",69.723,327,469,102,6,40,358,76.33,276,707,712,86,61,1149,1614,1700,0,622,1603
"A0A0D9QUR5","A6NM11",76.221,359,471,107,5,5,396,84.08,168,638,643,85,73,1149,1614,1700,0,707,1825
"A0A0D9QUR6","P07585",97.772,351,359,8,0,0,354,98.61,1,359,359,100,100,1,359,359,0,723,1867
"A0A0D9QUR7","Q15628",95.833,299,312,9,1,4,303,97.12,1,308,308,100,100,1,312,312,0,586,1511
"A0A0D9QUR8","O14653",97.17,206,212,6,0,0,210,99.06,1,212,212,100,100,1,212,212,1.02e-152,421,1083
"A0A0D9QUR9","O76074",99.314,869,875,6,0,0,872,99.66,1,875,875,100,100,1,875,875,0,1820,4715
"A0A0D9QUS0","Q8IV08",98.571,483,490,7,0,0,486,99.18,1,490,490,100,100,1,490,490,0,1011,2613
"A0A0D9QUS1","Q96CD0",93.583,350,374,24,0,0,355,94.92,1,374,374,100,100,1,374,374,0,616,1589
"A0A0D9QUS2","O14905",99.094,328,331,3,0,0,329,99.4,25,355,355,93,93,27,357,357,0,667,1721
"A0A0D9QUS3","P51884",98.225,332,338,6,0,0,337,99.7,1,338,338,100,100,1,338,338,0,677,1746
"A0A0D9QUS4","P12104",95.455,126,132,6,0,0,128,96.97,1,132,132,100,100,1,132,132,1.09e-89,255,652
"A0A0D9QUS5","O60938",98.58,347,352,5,0,0,351,99.72,1,352,352,100,100,1,352,352,0,717,1850
"A0A0D9QUS6","Q9ULV5",98.583,487,494,5,1,2,487,98.58,1,494,494,100,100,1,492,492,0,953,2464
"A0A0D9QUS7","Q8WVX3",92.424,61,66,5,0,0,62,93.94,134,199,199,33,33,1,66,66,1.06e-39,129,325
"A0A0D9QUS8","P56703",95.751,338,353,13,2,2,340,96.32,3,353,353,99,99,3,355,355,0,690,1781
"A0A0D9QUS9","Q8N9M1",99.112,335,338,3,0,0,336,99.41,1,338,366,92,92,38,375,422,0,674,1738
"A0A0D9QUT0","Q70EK8",96.272,1033,1073,40,0,0,1054,98.23,1,1073,1073,100,100,1,1073,1073,0,2162,5601
"A0A0D9QUT2","Q99645",97.516,314,322,8,0,0,319,99.07,1,322,322,100,100,1,322,322,0,639,1647
"A0A0D9QUT3","Q9Y243",77.066,373,484,103,5,8,430,88.84,1,481,535,90,90,1,479,479,0,786,2031
"A0A0D9QUT4","Q9NPC6",97.348,257,264,7,0,0,262,99.24,1,264,264,100,100,1,264,264,0,535,1378
"A0A0D9QUT5","Q9H8S5",98.374,121,123,2,0,0,122,99.19,1,123,123,100,100,93,215,307,1.25e-79,236,602
"A0A0D9QUT6","Q9UMS6",95.962,1022,1065,34,2,9,1033,97,13,1068,1245,85,85,20,1084,1093,0,2056,5326
"A0A0D9QUT7","Q8N6N2",97.908,234,239,5,0,0,236,98.74,1,239,239,100,100,1,239,239,4.93e-171,470,1209
"A0A0D9QUT8","Q8TC90",87.745,358,408,40,3,10,371,90.93,1,400,400,100,100,1,406,406,0,528,1360
"A0A0D9QUT9","P53992",56.068,596,1063,413,15,54,764,71.87,12,1032,1032,99,99,44,1094,1094,0,1143,2957
"A0A0D9QUU0","P18124",90.763,226,249,20,1,3,234,93.98,3,251,251,99,99,3,248,248,1.35e-163,452,1162
"A0A0D9QUU1","P80192",53.458,572,1070,344,28,154,686,64.11,7,948,952,99,99,43,1086,1104,0,935,2416
"A0A0D9QUU2","Q86UE3",48.998,318,649,277,4,54,399,61.48,8,602,603,99,99,100,748,836,0,604,1558
"A0A0D9QUU3","Q9HCE5",99.342,453,456,3,0,0,455,99.78,1,456,456,100,100,1,456,456,0,936,2420
"A0A0D9QUU4","Q5TYW1",37.462,369,985,448,11,168,511,51.88,1,823,832,99,99,3,981,1059,0,598,1542
"A0A0D9QUU5","P46459",99.729,737,739,2,0,0,739,100,1,739,769,96,96,1,739,744,0,1517,3927
"A0A0D9QUU6","Q01814",78.535,922,1174,215,9,37,1024,87.22,1,1145,1176,97,97,1,1166,1243,0,1815,4702
"A0A0D9QUU7","P56730",97.829,856,875,19,0,0,859,98.17,1,875,875,100,100,1,875,875,0,1762,4564
"A0A0D9QUU8","P34998",93.243,414,444,1,1,29,414,93.24,1,415,415,100,100,1,444,444,0,837,2163
"A0A0D9QUU9","Q9Y6R6",52.192,381,730,319,3,30,467,63.97,5,704,716,99,98,72,801,833,0,720,1858
"A0A0D9QUV0","P52848",70.497,454,644,182,4,8,527,81.83,1,637,642,99,99,4,646,882,0,946,2444
"A0A0D9QUV1","P43686",100,418,418,0,0,0,418,100,1,418,418,100,100,1,418,418,0,854,2207
"A0A0D9QUV2","Q8TC44",93.096,445,478,6,1,27,446,93.31,1,451,451,100,100,1,478,478,0,913,2360
"A0A0D9QUV3","O95803",81.236,710,874,162,2,2,791,90.5,1,873,873,100,100,1,873,873,0,1523,3944
"A0A0D9QUV4","P10636",94.828,605,638,32,1,1,614,96.24,225,861,861,89,74,121,758,758,0,1149,2972
"A0A0D9QUV5","Q9Y6R7",95.082,1218,1281,63,0,0,1237,96.57,1,1281,1284,99,99,1,1281,5405,0,2409,6244
"A0A0D9QUV6","Q16828",99.738,380,381,1,0,0,381,100,1,381,381,100,100,1,381,381,0,782,2020
"A0A0D9QUV7","Q7Z3B3",98.914,1093,1105,12,0,0,1098,99.37,1,1105,1105,100,100,1,1105,1105,0,2224,5763
"A0A0D9QUV8","Q9Y6R7",94.053,427,454,27,0,0,438,96.48,1,454,454,100,100,4952,5405,5405,0,830,2144
"A0A0D9QUV9","O60936",97.987,146,149,3,0,0,146,97.99,60,208,265,56,56,1,149,208,1.76e-90,266,680
"A0A0D9QUW0","P21583",99.267,271,273,2,0,0,272,99.63,1,273,273,100,100,1,273,273,0,554,1427
"A0A0D9QUW1","A6NMS7",80.882,1375,1700,307,11,18,1461,85.94,1,1696,1711,99,99,1,1686,1700,0,2650,6868
"A0A0D9QUW2","P22087",99.371,316,318,2,0,0,316,99.37,1,318,318,100,100,4,321,321,0,622,1604
"A0A0D9QUW3","Q6ZXV5",98.251,899,915,15,1,1,911,99.56,1,914,914,100,100,1,915,915,0,1858,4813
"A0A0D9QUW4","Q68EN5",98.514,464,471,7,0,0,466,98.94,1,471,471,100,100,1,471,471,0,962,2487
"A0A0D9QUW5","Q9Y463",93.323,587,629,2,1,40,588,93.48,1,589,589,100,100,1,629,629,0,1186,3067
"A0A0D9QUW6","A8MZ59",88.623,148,167,19,0,0,155,92.81,1,167,167,100,100,31,197,198,3.38e-102,291,745
"A0A0D9QUW7","Q16880",98.891,535,541,6,0,0,538,99.45,1,541,541,100,100,1,541,541,0,1108,2866
"A0A0D9QUW8","Q05315",76.296,103,135,32,0,0,116,85.93,1,135,145,93,93,1,135,142,5.12e-76,222,565
"A0A0D9QUW9","Q5FYB0",98.331,589,599,10,0,0,595,99.33,1,599,599,100,100,1,599,599,0,1229,3180
"A0A0D9QUX0","Q86VI1",95.442,712,746,34,0,0,729,97.72,1,746,746,100,100,1,746,746,0,1328,3437
"A0A0D9QUX1","Q8TCE9",78.676,107,136,28,1,1,114,83.82,1,136,138,99,99,1,135,139,2.85e-75,219,559
"A0A0D9QUX2","O15078",96.489,2391,2478,55,2,32,2425,97.86,1,2478,2513,99,99,1,2446,2479,0,4712,12223
"A0A0D9QUX3","Q96I59",94.774,399,421,22,0,0,413,98.1,1,421,421,100,100,1,421,477,0,837,2163
"A0A0D9QUX4","Q13555",77.558,432,557,56,4,69,461,82.76,1,488,489,99,99,1,557,558,0,882,2280
"A0A0D9QUX5","Q9UQC2",98.119,626,638,12,0,0,632,99.06,1,638,638,100,100,39,676,676,0,1290,3339
"A0A0D9QUX6","Q9UHV8",89.209,124,139,15,0,0,129,92.81,1,139,139,100,100,1,139,139,4.83e-90,257,656
"A0A0D9QUX7","Q8NB14",42.116,430,1021,445,18,146,589,57.69,48,926,952,92,92,1,1017,1042,0,738,1904
"A0A0D9QUX8","Q8N999",96.923,315,325,10,0,0,321,98.77,37,361,361,90,90,1,325,325,0,662,1708
"A0A0D9QUX9","Q01484",96.744,3803,3931,105,2,23,3840,97.69,59,3970,4035,97,97,27,3953,3957,0,7753,20117
"A0A0D9QUY0","Q9BVK2",97.719,514,526,12,0,0,518,98.48,1,526,526,100,100,1,526,526,0,1043,2697
"A0A0D9QUY1","A8MUM7",95.07,135,142,7,0,0,138,97.18,1,142,142,100,100,1,142,142,4.15e-97,275,703
"A0A0D9QUY2","Q16254",96.89,405,418,8,3,5,407,97.37,1,418,418,100,100,1,413,413,0,790,2040
"A0A0D9QUY3","O95298",82.353,98,119,21,0,0,110,92.44,1,119,119,100,100,1,119,119,1.73e-71,208,530
"A0A0D9QUY4","Q9BQ13",96.471,246,255,9,0,0,246,96.47,1,255,255,100,100,1,255,255,0,510,1314
"A0A0D9QUY5","P59797",85.429,299,350,47,1,4,303,86.57,1,350,350,100,100,1,346,346,9e-146,415,1066
"A0A0D9QUY6","P30260",99.757,822,824,2,0,0,822,99.76,1,824,824,100,100,1,824,824,0,1713,4436
"A0A0D9QUY7","Q4G0J3",97.766,569,582,12,1,1,574,98.63,1,581,581,100,100,1,582,582,0,1148,2969
"A0A0D9QUY8","Q9NYJ7",94.66,585,618,29,2,4,593,95.95,1,614,614,100,100,1,618,618,0,1082,2798
"A0A0D9QUY9","Q96HW7",99.585,960,964,3,1,1,961,99.69,1,964,964,100,100,1,963,963,0,1976,5118
"A0A0D9QUZ0","Q86YA3",94.095,1960,2083,119,4,4,2003,96.16,1,2081,2109,99,99,1,2081,2104,0,3962,10274
"A0A0D9QUZ1","P12829",90.233,194,215,1,2,20,194,90.23,45,257,257,83,83,1,197,197,5.83e-135,378,970
"A0A0D9QUZ2","Q9H7C9",100,122,122,0,0,0,122,100,1,122,122,100,100,1,122,122,7.81e-88,250,638
"A0A0D9QUZ3","Q8NA57",94.699,393,415,21,1,1,401,96.63,1,415,415,100,100,1,414,414,0,804,2076
"A0A0D9QUZ4","Q96T23",97.918,1411,1441,30,0,0,1425,98.89,1,1441,1441,100,100,1,1441,1441,0,2835,7350
"A0A0D9QUZ5","P18084",55.673,422,758,312,11,24,535,70.58,2,741,741,99,99,46,797,799,0,848,2191
"A0A0D9QUZ6","P54105",100,237,237,0,0,0,237,100,1,237,237,100,100,1,237,237,2.92e-176,483,1243
"A0A0D9QUZ7","Q8IY85",92.185,696,755,56,2,3,720,95.36,1,754,754,100,100,221,973,973,0,1384,3583
"A0A0D9QUZ8","Q8NBQ7",98.155,266,271,5,0,0,269,99.26,1,271,271,100,100,1,271,271,0,540,1390
"A0A0D9QUZ9","Q92556",51.776,379,732,332,5,21,525,71.72,1,716,720,99,99,1,727,727,0,778,2010
"A0A0D9QV00","O00267",99.816,1085,1087,2,0,0,1087,100,1,1087,1087,100,100,1,1087,1087,0,2237,5796
"A0A0D9QV01","O75914",77.954,442,567,88,9,37,488,86.07,3,543,544,99,99,2,557,559,0,867,2241
"A0A0D9QV02","Q6W3E5",89.864,461,513,52,0,0,486,94.74,1,513,513,100,100,1,513,623,0,895,2312
"A0A0D9QV03","Q9UBM8",99.791,477,478,1,0,0,478,100,1,478,478,100,100,1,478,478,0,997,2578
"A0A0D9QV05","Q8WV35",91.189,207,227,16,1,4,211,92.95,1,227,227,100,100,1,223,223,7.18e-136,380,975
"A0A0D9QV06","P30990",95.294,162,170,8,0,0,166,97.65,1,170,170,100,100,1,170,170,1.12e-113,319,818
"A0A0D9QV07","Q6PIF6",52.349,1170,2235,909,17,156,1550,69.35,7,2216,2218,99,99,7,2110,2116,0,2336,6053
"A0A0D9QV09","P62249",100,146,146,0,0,0,146,100,1,146,146,100,100,1,146,146,5.1e-105,295,756
"A0A0D9QV10","Q96QP1",93.49,1077,1152,75,0,0,1103,95.75,27,1178,1181,98,98,91,1242,1244,0,2201,5704
"A0A0D9QV11","Q8N1E6",27.711,46,166,95,6,25,73,43.98,8,171,180,91,91,11,153,418,9.97e-05,41.6,96
"A0A0D9QV13","Q9H7P9",95.108,1322,1390,64,4,4,1333,95.9,1,1390,1390,100,100,1,1386,1386,0,2439,6322
"A0A0D9QV14","Q63HQ0",99.27,272,274,2,0,0,274,100,9,282,282,97,97,29,302,302,0,556,1434
"A0A0D9QV15","Q8N7B9",95.881,419,437,17,1,1,426,97.48,1,436,436,100,100,1,437,438,0,869,2246
"A0A0D9QV16","Q9BTX3",98.266,170,173,3,0,0,172,99.42,1,173,173,100,100,1,173,173,1.27e-127,355,910
"A0A0D9QV17","Q8N8J7",94.697,125,132,7,0,0,128,96.97,1,132,132,100,100,1,132,132,1.12e-89,255,652
"A0A0D9QV18","O75901",97.471,424,435,11,0,0,429,98.62,1,435,435,100,100,1,435,435,0,878,2268
"A0A0D9QV19","Q99697",96.825,61,63,2,0,0,61,96.83,1,63,82,77,77,1,63,317,2.96e-38,129,323
"A0A0D9QV20","Q99697",99.231,258,260,2,0,0,258,99.23,66,325,325,80,80,58,317,317,0,535,1377
"A0A0D9QV21","Q15699",98.777,323,327,3,1,1,325,99.39,1,327,327,100,100,1,326,326,0,679,1753
"A0A0D9QV22","Q07075",94.154,902,958,55,1,1,919,95.93,1,958,958,100,100,1,957,957,0,1823,4723
"A0A0D9QV23","Q96IZ6",96.834,367,379,11,1,1,373,98.42,1,379,379,100,100,1,378,378,0,771,1990
"A0A0D9QV24","Q96JM4",92.928,1603,1725,118,3,4,1651,95.71,1,1724,1724,100,100,1,1722,1722,0,3162,8199
"A0A0D9QV25","Q86UE8",97.021,749,772,1,1,22,749,97.02,1,750,750,100,100,1,772,772,0,1551,4015
"A0A0D9QV26","Q9Y613",95.361,1110,1164,39,1,15,1125,96.65,1,1149,1149,100,100,1,1164,1164,0,2130,5519
"A0A0D9QV27","P22897",33.243,492,1480,913,38,75,769,51.96,33,1477,1479,98,98,14,1453,1456,0,812,2098
"A0A0D9QV28","Q14940",99.219,889,896,7,0,0,891,99.44,1,896,896,100,100,1,896,896,0,1824,4724
"A0A0D9QV29","Q8NA82",87.171,530,608,78,0,0,558,91.78,1,608,639,95,95,134,741,808,0,1004,2597
"A0A0D9QV30","Q8NA82",84.868,129,152,20,2,3,133,87.5,1,151,238,63,63,1,150,808,6.77e-64,212,539
"A0A0D9QV31","P0C672",94.853,129,136,7,0,0,130,95.59,1,136,147,93,93,63,198,248,4.36e-94,271,694
"A0A0D9QV32","Q9HCD6",99.584,1915,1923,5,1,3,1918,99.74,145,2067,2067,96,93,71,1990,1990,0,3952,10248
"A0A0D9QV33","Q9H1V8",65.85,484,735,238,8,13,601,81.77,1,730,730,100,100,1,727,727,0,1014,2621
"A0A0D9QV34","P49447",95.219,239,251,12,0,0,243,96.81,1,251,251,100,100,1,251,251,4.25e-167,461,1186
"A0A0D9QV35","Q9H252",97.284,967,994,27,0,0,980,98.59,1,994,994,100,100,1,994,994,0,1999,5178
"A0A0D9QV36","Q8N394",99.305,714,719,5,0,0,717,99.72,1,719,719,100,100,118,836,836,0,1481,3833
"A0A0D9QV37","P26651",97.853,319,326,7,0,0,323,99.08,7,332,332,98,98,1,326,326,0,620,1599
"A0A0D9QV38","Q8N6Q8",95.07,405,426,21,0,0,412,96.71,105,530,572,74,74,1,426,603,0,830,2143
