Proteome_ID	Tax_ID	Species_Name
UP000008672	7897	Latimeria chalumnae (Coelacanth)
UP000018468	7918	Lepisosteus oculatus (Spotted gar)
UP000000437	7955	Danio rerio (Zebrafish) (Brachydanio rerio)
UP000694427	7962	(new) Cyprinus carpio (Common carp)
UP000314983	8005	Electrophorus electricus (Electric eel) (Gymnotus electricus)
UP000265140	8010	Esox lucius (Northern pike)
UP000694557	8019	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)
UP000694546	8049	Gadus morhua (Atlantic cod)
UP000242638	8081	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)
UP000002852	8083	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)
UP000694565	8103	Cyclopterus lumpus (Lumpsucker)
UP000005207	8128	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)
UP000264840	8153	Haplochromis burtoni (Burton's mouthbrooder) (Chromis burtoni)
UP000295070	8167	Perca flavescens (American yellow perch) (Morone flavescens)
UP000465112	8168	Perca fluviatilis (European perch)
UP000472265	8175	Sparus aurata (Gilthead sea bream)
UP000504611	8208	Notothenia coriiceps (black rockcod)
UP001153269	8262	(new) Pleuronectes platessa (European plaice)
UP000008143	8364	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
UP000031443	8469	Chelonia mydas (Green sea-turtle) (Chelonia agassizi)
UP000694380	8478	Chrysemys picta bellii (Western painted turtle) (Emys bellii)
UP000594220	8502	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)
UP000694392	8508	Sphenodon punctatus (Tuatara) (Hatteria punctata)
UP000504612	8663	Notechis scutatus (mainland tiger snake)
UP000472273	8673	Pseudonaja textilis (Eastern brown snake)
UP000543287	8790	Dromaius novaehollandiae (Emu)
UP000296049	8839	Anas platyrhynchos (Mallard) (Anas boschas)
UP000016666	8840	Anas platyrhynchos platyrhynchos (Northern mallard)
UP000694521	8845	Anser cygnoides (Swan goose)
UP000031515	8897	Chaetura pelagica (Chimney swift) (Hirundo pelagica)
UP000584326	8905	Podargus strigoides (Tawny frogmouth) (Caprimulgus strigoides)
UP000198323	9009	Callipepla squamata (Scaled quail)
UP000000539	9031	Gallus gallus (Chicken)
UP000694428	9049	Pavo cristatus (Indian peafowl) (Blue peafowl)
UP000472261	9054	Phasianus colchicus (Common pheasant)
UP000694543	9089	Chrysolophus pictus (Golden pheasant) (Phasianus pictus)
UP000001645	9103	Meleagris gallopavo (Wild turkey)
UP000640762	9117	Grus americana (Whooping crane)
UP000694409	9135	Serinus canaria (Island canary) (Fringilla canaria)
UP000053700	9218	Phoenicopterus ruber ruber
UP000054081	9238	Pygoscelis adeliae (Adelie penguin)
UP000054308	9244	Calypte anna (Anna's hummingbird) (Archilochus anna)
UP000593571	9407	Rousettus aegyptiacus (Egyptian fruit bat) (Pteropus aegyptiacus)
UP000233100	9541	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
UP000006718	9544	Macaca mulatta (Rhesus macaque)
UP000001519	9595	Gorilla gorilla gorilla (Western lowland gorilla)
UP000002277	9598	Pan troglodytes (Chimpanzee)
UP000005640	9606	Homo sapiens (Human)
UP000286640	9627	Vulpes vulpes (Red fox)
UP000291022	9643	Ursus americanus (American black bear) (Euarctos americanus)
UP000000715	9669	Mustela putorius furo (European domestic ferret) (Mustela furo)
UP000694399	9689	Panthera leo (Lion)
UP000515131	9696	Puma concolor (Mountain lion) (Felis concolor)
UP000245340	9708	Odobenus rosmarus divergens (Pacific walrus)
UP000245341	9713	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)
UP000248483	9749	Delphinapterus leucas (Beluga whale)
UP000437017	9770	Balaenoptera physalus (Fin whale) (Balaena physalus)
UP000007646	9785	Loxodonta africana (African elephant)
UP000694387	9793	Equus asinus (Donkey) (Equus africanus asinus)
UP000002281	9796	Equus caballus (Horse)
UP000008227	9823	Sus scrofa (Pig)
UP000299084	9838	Camelus dromedarius (Dromedary) (Arabian camel)
UP000291000	9925	Capra hircus (Goat)
UP000002356	9940	Ovis aries (Sheep)
UP000001811	9986	Oryctolagus cuniculus (Rabbit)
UP000694407	9994	Marmota marmota marmota (Alpine marmot)
UP000081671	10020	Dipodomys ordii (Ord's kangaroo rat)
UP000001075	10029	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
UP000189706	10036	Mesocricetus auratus (Golden hamster)
UP000694415	10103	Mus spicilegus (Steppe mouse)
UP000002494	10116	Rattus norvegicus (Rat)
UP000005447	10141	Cavia porcellus (Guinea pig)
UP000006813	10181	Heterocephalus glaber (Naked mole rat)
UP000009022	10228	Trichoplax adhaerens (Trichoplax reptans)
UP000516359	10244	Monkeypox virus
UP000101521	10264	Pigeonpox virus
UP000000868	10272	Rabbit fibroma virus (strain Kasza) (RFV) (Shope fibroma virus (strain Kasza))
UP000000869	10280	Molluscum contagiosum virus subtype 1 (MOCV) (MCVI)
UP001147787	10295	(new) Bovine alphaherpesvirus 2
UP000270953	10310	(new) Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)
UP000001874	10315	Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus 2)
UP000002602	10338	Varicella-zoster virus (strain Dumas) (HHV-3) (Human herpesvirus 3)
UP000154030	10345	Suid alphaherpesvirus 1
UP000122156	10359	(new) Human cytomegalovirus (HHV-5) (Human herpesvirus 5)
UP000008992	10360	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)
UP000122533	10366	Murid herpesvirus 1 (MuHV-1) (Mouse cytomegalovirus)
UP000009295	10370	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)
UP000124452	10371	Equid gammaherpesvirus 5
UP000000587	10383	Saimiriine herpesvirus 2 (strain 11) (SaHV-2) (Herpesvirus saimiri)
UP000109731	10385	Bovine herpesvirus 4 (BoHV-4) (Movar virus)
UP000140289	10386	Infectious laryngotracheitis virus (ILTV) (Gallid herpesvirus 1)
UP000149312	10390	(new) Gallid alphaherpesvirus 2
UP000137095	10397	Tupaiid herpesvirus 1 (strain 1) (TuHV-1) (Herpesvirus tupaia (strain 1))
UP000007542	10431	(new) Woodchuck hepatitis B virus (isolate 59) (WHV)
UP000203997	10449	Lymantria dispar multicapsid nuclear polyhedrosis virus (LdMNPV)
UP000069541	10454	(new) Spodoptera exigua multiple nucleopolyhedrovirus
UP000202635	10464	Agrotis segetum granulosis virus (AsGV) (Agrotis segetum granulovirus)
UP000594088	10497	(new) African swine fever virus (ASFV)
UP000000862	10506	Paramecium bursaria Chlorella virus 1 (PBCV-1)
UP000595620	10511	Bovine adenovirus 7 (BAdV-7)
UP000118097	10514	Canine adenovirus serotype 2 (CAdV-2) (Canine adenovirus 2)
UP000008167	10515	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)
UP000110325	10529	(new) Human adenovirus A serotype 31 (HAdV-31) (Human adenovirus 31)
UP000001594	10553	Fowl adenovirus A serotype 1 (strain CELO / Phelps) (FAdV-1) (Avian adenovirus gal1 (strain Phelps))
UP000140180	10563	Bos taurus papillomavirus 6 (Bovine papillomavirus 6)
UP000201557	10571	Bovine papillomavirus
UP000000469	10576	Pygmy chimpanzee papillomavirus type 1 (PCPV-1)
UP000162594	10586	(new) Human papillomavirus 33
UP000116602	10588	(new) Human papillomavirus 39
UP000006367	10589	Human papillomavirus type 41
UP000009122	10590	(new) Human papillomavirus 42
UP000009123	10592	Human papillomavirus 44
UP000109611	10593	(new) Human papillomavirus 45
UP000007666	10596	Human papillomavirus 56
UP000101820	10598	Human papillomavirus 58
UP000127544	10611	(new) Human papillomavirus 30
UP000008479	10636	Murine polyomavirus (strain A2) (MPyV)
UP000008446	10640	Carnation etched ring virus (CERV)
UP000002501	10648	Cauliflower mosaic virus (strain Strasbourg) (CaMV)
UP000008622	10650	Figwort mosaic virus (strain DxS) (FMV)
UP000001065	10651	Soybean chlorotic mottle virus
UP000002246	10655	Rice tungro bacilliform virus (isolate Philippines) (RTBV)
UP000009087	10665	Enterobacteria phage T4 (Bacteriophage T4)
UP000009093	10680	Enterobacteria phage P4 (Bacteriophage P4)
UP000001708	10702	Streptomyces phage VWB
UP000001729	10704	Rhizobium phage 16-3 (Bacteriophage 16-3)
UP000012980	10713	Enterobacteria phage phi80 (Bacteriophage phi-80)
UP000002124	10719	Streptomyces phage phiC31 (Bacteriophage phi-C31)
UP000002559	10724	Bacillus phage SPP1 (Bacteriophage SPP1)
UP000008041	10732	(new) Streptomyces phage R4
UP000027387	10748	Streptococcus phage Cp-7 (Bacteriophage Cp-7)
UP000000846	10761	Shigella phage Sf6 (Shigella flexneri bacteriophage VI) (Bacteriophage SfVI)
UP000008470	10783	Aleutian mink disease parvovirus (strain G) (ADV)
UP000203767	10820	Chloris striate mosaic virus (CSMV)
UP000243776	10821	Maize streak virus
UP000008869	10822	(new) Maize streak virus genotype A (isolate Kenya) (MSV)
UP000232765	10832	(new) Tomato yellow leaf curl virus
UP000002140	10843	Escherichia phage G4 (Bacteriophage G4)
UP000002129	10844	(new) Enterobacteria phage S13 (Bacteriophage S13)
UP000002137	10849	Escherichia phage alpha3 (Bacteriophage alpha-3)
UP000001252	10854	Spiroplasma virus SpV1-R8A2 B (SpV1) (Spiroplasma virus 1)
UP000241027	10863	(new) Enterobacteria phage f1 (Bacteriophage f1)
UP000000372	10867	Salmonella phage IKe (Bacteriophage IKe)
UP000007253	10884	Reovirus type 1 (strain Lang) (T1L) (Mammalian orthoreovirus 1)
UP000006370	10885	(new) Reovirus type 2 (strain D5/Jones) (T2J) (Mammalian orthoreovirus 2)
UP000007662	10900	Bluetongue virus 10 (isolate USA) (BTV 10)
UP000154015	10941	Human rotavirus A
UP000006720	10986	Rice gall dwarf virus (RGDV)
UP000161239	10995	(new) Avian infectious bursal disease virus (IBDV) (Gumboro disease virus)
UP000007248	11003	Infectious pancreatic necrosis virus (strain Jasper) (IPNV)
UP000103415	11041	Rubella virus (RUBV)
UP000000571	11045	Rubella virus (strain Therien) (RUBV)
UP000141758	11047	Equine arteritis virus (EAV)
UP000002500	11059	Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1)
UP000006717	11122	Avian infectious bronchitis virus (strain Beaudette) (IBV)
UP000007192	11142	Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus)
UP000001440	11151	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)
UP000106470	11153	Canine coronavirus
UP000002331	11171	Mumps virus (strain Miyahara vaccine) (MuV)
UP000007232	11208	Parainfluenza virus 5 (strain W3) (PIV5) (Simian virus 5)
UP000000472	11214	(new) Human parainfluenza 2 virus (strain Toshiba) (HPIV-2)
UP000136985	11224	Human parainfluenza virus 4a
UP000138214	11241	Rinderpest morbillivirus
UP000007616	11247	Bovine respiratory syncytial virus (strain A51908) (BRS)
UP000008448	11273	Chandipura virus (strain I653514) (CHPV)
UP000232714	11274	Piry virus (PIRYV)
UP000109836	11280	Vesicular stomatitis New Jersey virus
UP000007626	11283	Vesicular stomatitis New Jersey virus (strain Ogden subtype Concan) (VSNJV)
UP000002327	11285	Vesicular stomatitis Indiana virus (strain San Juan) (VSIV)
UP000154838	11287	Viral hemorrhagic septicemia virus
UP000180861	11290	(new) Infectious hematopoietic necrosis virus
UP000007310	11298	(new) Rabies virus (strain Nishigahara RCEH) (RABV)
UP000232774	11577	Bunyavirus La Crosse
UP000170142	11597	Hazara virus (isolate JC280)
UP000008627	11602	Hantaan virus (strain 76-118) (Korean hemorrhagic fever virus)
UP000002474	11624	Lymphocytic choriomeningitis virus (strain Armstrong) (LCMV)
UP000157582	11660	Caprine arthritis encephalitis virus (CAEV)
UP000203242	11661	Caprine arthritis encephalitis virus (strain Cork) (CAEV-Co)
UP000007688	11685	Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1)
UP000007693	11689	Human immunodeficiency virus type 1 group M subtype D (isolate ELI) (HIV-1)
UP000007696	11697	Human immunodeficiency virus type 1 group M subtype A (isolate MAL) (HIV-1)
UP000260469	11709	(new) Human immunodeficiency virus 2
UP000007221	11738	(new) Simian immunodeficiency virus (isolate PBj14/BCL-3) (SIV-sm) (Simian immunodeficiency virus sooty mangabey monkey)
UP000228400	11758	Mouse mammary tumor virus (strain BR6) (MMTV)
UP000122992	11908	Human T-cell leukemia virus type I
UP000009254	11909	Human T-cell leukemia virus 2 (HTLV-2)
UP000001061	11927	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1)
UP000201784	11986	Carnation mottle virus (CarMV)
UP000202003	11987	Melon necrotic spot virus (MNSV)
UP000007403	11988	Turnip crinkle virus (TCV)
UP000002126	12018	Enterobacteria phage GA (Bacteriophage GA)
UP000002127	12022	Escherichia phage MS2 (Bacteriophage MS2)
UP000000728	12027	Enterobacteria phage SP (Bacteriophage SP)
UP000201690	12042	Beet western yellows virus
UP000007545	12043	Turnip yellows virus (isolate FL-1) (TuYV) (BWYV-FL1)
UP000000356	12081	Poliovirus type 1 (strain Mahoney)
UP000203388	12139	Southern bean mosaic virus
UP000202336	12142	(new) Artichoke mottled crinkle virus (AMCV)
UP000204414	12162	Citrus tristeza virus
UP000203562	12166	Poplar mosaic virus
UP000000677	12168	Potato virus M (strain Russian) (PVM)
UP000207635	12169	Potato virus S
UP000000477	12181	Papaya mosaic potexvirus (PMV)
UP000008615	12184	(new) Potato virus X (strain CP) (PVX)
UP000007627	12189	White clover mosaic virus (strain M) (WCMV)
UP000201208	12194	Lily virus X
UP000000520	12219	Potato virus Y (strain N) (PVY)
UP000008651	12267	Red clover necrotic mosaic virus (RCNMV)
UP000000410	12281	Tomato ringspot virus (isolate raspberry) (ToRSV)
UP000001649	12302	Brome mosaic virus (BMV)
UP000002502	12307	Cucumber mosaic virus (strain FNY) (CMV)
UP000008454	12310	Cucumber mosaic virus (strain Q) (CMV)
UP000007795	12318	Tobacco streak virus (strain WC) (TSV)
UP000202438	12319	Apple mosaic virus
UP000000358	12322	Alfalfa mosaic virus (strain 425 / isolate Leiden)
UP000001240	12336	Clostridium botulinum C phage (Clostridium botulinum C bacteriophage)
UP000001922	12348	Lactococcus phage LL-H (Lactococcus delbrueckii bacteriophage LL-H)
UP000000996	12390	Lactococcus phage phiLC3
UP000001166	12402	Streptococcus phage EJ-1
UP000202027	12433	(new) Garlic virus A
UP000211161	12445	Satellite tobacco necrosis virus 1
UP000243666	12450	Saccharomyces cerevisiae killer virus M1 (ScV-M1) (Saccharomyces cerevisiae virus M1)
UP000001650	12456	Human astrovirus-1 (HAstV-1)
UP000201899	12458	Garlic latent virus
UP000203092	12470	Lucerne transient streak virus
UP000204665	12471	Solanum nodiflorum mottle virus
UP000202555	12473	Velvet tobacco mottle virus
UP000201636	12474	Coconut foliar decay virus
UP000006826	12538	Mokola virus (MOKV)
